medianame	source_url	domain	country	bias	factual
iPolitics	http://ipolitics.ca/	ipolitics.ca	None	leftcenter	high
USA News for You	http://usanews4u.us/	usanews4u.us	None	extremeleft	questionable source
TreeHugger	https://www.treehugger.com/	www.treehugger.com	USA	left	high
InsideClimate News	https://insideclimatenews.org/	insideclimatenews.org	None	leftcenter	high
Oil and Water Don't Mix	http://www.oilandwaterdontmix.org/	www.oilandwaterdontmix.org	None	leftcenter	high
Hoover Institution	https://www.hoover.org/	www.hoover.org	USA	rightcenter	high
Journal Standard	https://www.journalstandard.com	www.journalstandard.com	USA	center	high
RedState	https://www.redstate.com	www.redstate.com	USA	right	mixed
Berlingske	https://www.berlingske.dk/	www.berlingske.dk	Denmark	rightcenter	mostly factual
Las Vegas Review-Journal	http://www.reviewjournal.com/	www.reviewjournal.com	USA	rightcenter	high
Godfather Politics	https://godfatherpolitics.com	godfatherpolitics.com	USA	extremeright	mixed
The Verge	https://www.theverge.com/	www.theverge.com	USA	leftcenter	high
American Enterprise Institute	https://www.aei.org/	www.aei.org	USA	right	mixed
American Consequences	https://americanconsequences.com	americanconsequences.com	USA	right	mixed
Left Wing Nation	http://leftwingnation.org/	leftwingnation.org	None	left	high
The Jakarta Post	http://www.thejakartapost.com/	www.thejakartapost.com	None	center	high
The News Literacy Project	http://www.thenewsliteracyproject.org/	www.thenewsliteracyproject.org	None	center	high
Alan Guttmacher Institute	https://www.guttmacher.org/	www.guttmacher.org	USA	leftcenter	high
Silence is Consent	http://silenceisconsent.net/	silenceisconsent.net	None	right	mixed
Japan Today	https://www.japantoday.com/	www.japantoday.com	None	rightcenter	high
San Luis Obispo Tribune	https://www.sanluisobispo.com/	www.sanluisobispo.com	USA	leftcenter	high
Pittsburgh Post-Gazette	http://www.post-gazette.com/	www.post-gazette.com	USA	rightcenter	high
That's Nonsense	http://www.thatsnonsense.com/	www.thatsnonsense.com	None	center	high
Bustle Magazine	https://www.bustle.com/	www.bustle.com	USA	leftcenter	mostly factual
QPolitical	http://qpolitical.com/	qpolitical.com	None	extremeright	questionable source
I, Hypocrite	http://ihypocrite.net	ihypocrite.net	USA	extremeright	mixed
Government Accountability Project (GAP)	https://whistleblower.org/	whistleblower.org	USA	leftcenter	high
The New Civil Rights Movement	https://www.thenewcivilrightsmovement.com/	www.thenewcivilrightsmovement.com	USA	left	mixed
USA Dose News	http://usadosenews.com/	usadosenews.com	None	extremeright	questionable source
Nova Magazine	https://www.nova-magazine.net	www.nova-magazine.net	None	left	mixed
The Intercept	https://theintercept.com/	theintercept.com	USA	left	high
New Matilda	https://newmatilda.com/	newmatilda.com	None	leftcenter	high
Media Equalizer	https://mediaequalizer.com/	mediaequalizer.com	USA	right	mixed
Understanding The Threat	https://www.understandingthethreat.com/	www.understandingthethreat.com	None	extremeright	questionable source
The Balance	https://www.thebalance.com	www.thebalance.com	USA	center	high
Political State	https://politicalstate.org/	politicalstate.org	USA	extremeleft	questionable source
Red Rock Tribune	http://rrtribune.com/	rrtribune.com	None	extremeright	questionable source
Chronicles Magazine (Rockford)	https://www.chroniclesmagazine.org/	www.chroniclesmagazine.org	USA	right	mixed
CBS Boston - WBZ-TV	https://boston.cbslocal.com/	boston.cbslocal.com	USA	leftcenter	high
National Post	https://nationalpost.com	nationalpost.com	Canada	rightcenter	high
Russian News Agency-TASS	https://tass.com/	tass.com	Russia	rightcenter	mixed
Trending Politics	https://trendingpolitics.com/	trendingpolitics.com	USA	right	mixed
Cincinnati Enquirer	https://www.cincinnati.com/	www.cincinnati.com	USA	center	high
Anti-Defamation League (ADL)	https://www.adl.org	www.adl.org	USA	leftcenter	high
New Nation News	http://www.newnation.org/		USA	extremeright	questionable source
Gay Star News	https://www.gaystarnews.com/	www.gaystarnews.com	None	leftcenter	high
China Daily	http://www.chinadaily.com.cn/	www.chinadaily.com.cn	China	left	mixed
EgbertoWillies	https://egbertowillies.com/	egbertowillies.com	None	left	high
Arkansas Democrat-Gazette	https://www.arkansasonline.com/	www.arkansasonline.com	USA	rightcenter	high
The Daily Buzz	http://the-daily.buzz/	the-daily.buzz	None	left	high
The Palestine Chronicle	https://www.palestinechronicle.com	www.palestinechronicle.com	USA	left	high
American Action Forum	https://www.americanactionforum.org/	www.americanactionforum.org	USA	rightcenter	mostly factual
Hawar News Agency	https://en.hawarnews.org/	en.hawarnews.org	None	extremeleft	low
Legal Insurrection	https://legalinsurrection.com	legalinsurrection.com	USA	right	high
Lansing State Journal	https://www.lansingstatejournal.com	www.lansingstatejournal.com	USA	center	high
Political Updater	http://politicalupdater.com/	politicalupdater.com	None	left	mixed
The Indypendent	https://indypendent.org	indypendent.org	USA	left	high
Liberty Writers News	http://www.libertywritersnews.com/	www.libertywritersnews.com	None	extremeright	questionable source
Mint Press News	http://www.mintpressnews.com/	www.mintpressnews.com	USA	leftcenter	mixed
Portland Tribune	https://pamplinmedia.com	pamplinmedia.com	USA	leftcenter	mixed
Associated Press	https://apnews.com/	apnews.com	USA	center	very high
Ahval News	https://ahvalnews.com/	ahvalnews.com	Cyprus	leftcenter	mixed
Unicorn Riot	http://www.unicornriot.ninja/	www.unicornriot.ninja	None	leftcenter	high
Today Dispatch	http://todaydispatch.com/	todaydispatch.com	None	extremeright	questionable source
Fars News	https://en.farsnews.com/	en.farsnews.com	Iran	leftcenter	mixed
London Evening Standard	http://www.standard.co.uk/	www.standard.co.uk	United Kingdom	rightcenter	high
Firearms News	https://www.firearmsnews.com	www.firearmsnews.com	USA	rightcenter	high
New Republic	https://newrepublic.com/	newrepublic.com	USA	left	high
Rebel News	https://www.rebelnews.com/	www.rebelnews.com	Canada	right	mixed
The Strategy Bridge	https://thestrategybridge.org	thestrategybridge.org	None	center	high
Facts and Logic About the Middle East (FLAME)	http://factsandlogic.org/	factsandlogic.org	None	right	mixed
Bismarck Tribune	https://bismarcktribune.com/	bismarcktribune.com	USA	center	high
Die Zeit	http://www.zeit.de/english/index	www.zeit.de	None	leftcenter	high
The Jerusalem Post	https://www.jpost.com/	www.jpost.com	Israel	rightcenter	high
ATTN:	https://www.attn.com/	www.attn.com	None	leftcenter	high
The Jack News	https://www.thejacknews.com	www.thejacknews.com	None	rightcenter	high
1600 Daily	https://www.whitehouse.gov/1600daily	www.whitehouse.gov	USA	right	mostly factual
Bare Naked Islam	https://www.barenakedislam.com/	www.barenakedislam.com	USA	extremeright	low
Shorenstein Center	https://shorensteincenter.org/	shorensteincenter.org	USA	center	high
Mean Left Hook	http://meanlefthook.com/	meanlefthook.com	None	left	mixed
Foreign Affairs	https://www.foreignaffairs.com/	www.foreignaffairs.com	USA	center	high
Economics.Help	https://www.economicshelp.org	www.economicshelp.org	None	leftcenter	high
Resilience (Post Carbon Institute)	https://www.resilience.org	www.resilience.org	USA	left	mixed
TakePart	http://www.takepart.com/	www.takepart.com	None	left	high
Evonomics	http://evonomics.com/	evonomics.com	None	left	high
HermanCain.com	https://www.hermancain.com/	www.hermancain.com	None	right	mixed
Gun Violence Archive	https://www.gunviolencearchive.org	www.gunviolencearchive.org	USA	leftcenter	high
Youth Radio	https://youthradio.org/	youthradio.org	USA	leftcenter	high
Breakthrough Institute	https://thebreakthrough.org	thebreakthrough.org	None	rightcenter	high
The Winchester Star	https://www.winchesterstar.com	www.winchesterstar.com	USA	rightcenter	high
Glamour Magazine	http://www.glamour.com/	www.glamour.com	None	leftcenter	high
The Washington Sentinel	https://thewashingtonsentinel.com	thewashingtonsentinel.com	USA	extremeright	mixed
Mountain Democrat	https://www.mtdemocrat.com	www.mtdemocrat.com	USA	leftcenter	high
National Observer (Canada)	https://www.nationalobserver.com/	www.nationalobserver.com	Canada	leftcenter	high
Religion News Service (RNS)	http://religionnews.com	religionnews.com	None	leftcenter	high
Truth Examiner	https://www.truthexam.com/	www.truthexam.com	None	extremeleft	questionable source
The Chronicle of Higher Education	http://www.chronicle.com/	www.chronicle.com	None	center	high
Lifehacker	https://lifehacker.com/	lifehacker.com	None	leftcenter	high
Colombia Reports	https://colombiareports.com	colombiareports.com	None	leftcenter	mixed
Elisabeth Parker	http://elisabethparker.com/	elisabethparker.com	None	left	high
AllAfrica	https://allafrica.com	allafrica.com	South Africa	center	high
ArcaMax	https://www.arcamax.com/	www.arcamax.com	USA	rightcenter	mostly factual
Riverdale Press	https://riverdalepress.com/	riverdalepress.com	USA	center	high
The Ghion Journal	https://ghionjournal.com	ghionjournal.com	USA	left	mostly factual
Vidmax	http://vidmax.com/	vidmax.com	None	extremeright	questionable source
Raleigh News and Observer	https://www.newsobserver.com/	www.newsobserver.com	USA	leftcenter	high
World Resources Institute (WRI)	http://www.wri.org/	www.wri.org	None	center	very high
Jihadica	http://www.jihadica.com/	www.jihadica.com	USA	leftcenter	high
Freedom Crossroads	http://freedomcrossroads.com/	freedomcrossroads.com	None	right	mixed
Britain First	https://www.britainfirst.org/	www.britainfirst.org	None	extremeright	low
Harvard Political Review	http://harvardpolitics.com/	harvardpolitics.com	USA	leftcenter	high
Winona Daily News	http://www.winonadailynews.com	www.winonadailynews.com	USA	center	high
WallBuilders	https://wallbuilders.com	wallbuilders.com	USA	extremeright	questionable source
Washington Babylon	https://washingtonbabylon.com/	washingtonbabylon.com	USA	left	high
Just the Facts	https://www.justthefacts.org	www.justthefacts.org	Ireland	right	questionable source
The College Fix	https://www.thecollegefix.com/	www.thecollegefix.com	USA	right	mixed
Corpus Christi Caller-Times	https://www.caller.com	www.caller.com	USA	leftcenter	high
Breitbart	https://www.breitbart.com/	www.breitbart.com	USA	extremeright	mixed
ABS-CBN News	https://news.abs-cbn.com/	news.abs-cbn.com	Philippines	center	high
Inforum (The Forum of Fargo-Moorhead)	https://www.inforum.com	www.inforum.com	USA	rightcenter	high
Calgary Herald	https://calgaryherald.com	calgaryherald.com	Canada	rightcenter	high
CTV News	https://www.ctvnews.ca/	www.ctvnews.ca	Canada	center	high
Freedom House	https://freedomhouse.org/	freedomhouse.org	USA	rightcenter	high
Breaking911	http://breaking911.com	breaking911.com	Unknown	None	very low
Left Foot Forward	https://leftfootforward.org/	leftfootforward.org	None	left	high
America Talks with David Zublick	https://americatalks.com	americatalks.com	USA	extremeright	very low
Rapid City Journal	http://rapidcityjournal.com	rapidcityjournal.com	USA	center	high
Quillette	https://quillette.com	quillette.com	Australia	right	mixed
Committee for Economic Development	https://www.ced.org/	www.ced.org	USA	center	high
Santa Monica Observer	https://www.smobserved.com	www.smobserved.com	USA	right	questionable source
The Cipher Brief	https://www.thecipherbrief.com/	www.thecipherbrief.com	None	center	high
Archaeology World	https://www.archaeology-world.com/	www.archaeology-world.com	Unknown	None	mixed
Colorado Springs Gazette	https://gazette.com/	gazette.com	USA	rightcenter	high
Financial Post	https://business.financialpost.com/	business.financialpost.com	Canada	rightcenter	mostly factual
Pacific Research Institute	https://www.pacificresearch.org/	www.pacificresearch.org	USA	rightcenter	mixed
Patheos	https://www.patheos.com/	www.patheos.com	USA	center	mixed
Focus on the Family	http://www.focusonthefamily.com/	www.focusonthefamily.com	None	extremeright	low
Delaware Online - The News Journal	http://www.delawareonline.com/	www.delawareonline.com	None	leftcenter	high
Navy Times	https://www.navytimes.com/	www.navytimes.com	USA	center	high
National Review	https://www.nationalreview.com	www.nationalreview.com	USA	right	mostly factual
WorldStarHipHop	https://www.worldstarhiphop.com/	www.worldstarhiphop.com	USA	left	mixed
New Internationalist	https://newint.org/	newint.org	United Kingdom	left	high
Birmingham Mail	https://www.birminghammail.co.uk	www.birminghammail.co.uk	United Kingdom	leftcenter	mostly factual
Los Angeles Magazine	https://www.lamag.com/	www.lamag.com	USA	leftcenter	high
ProCon.org	https://www.procon.org/	www.procon.org	USA	center	high
The Week UK	https://www.theweek.co.uk	www.theweek.co.uk	United Kingdom	leftcenter	high
The Free Telegraph	https://freetelegraph.com/	freetelegraph.com	None	right	questionable source
Scoopnest	http://www.scoopnest.com/	www.scoopnest.com	None	center	high
Jewish Journal	https://jewishjournal.com/	jewishjournal.com	USA	rightcenter	high
The Sun Magazine	http://thesunmagazine.org/	thesunmagazine.org	None	leftcenter	high
DEBKAfile	https://www.debka.com	www.debka.com	None	right	mixed
Truth Against the Machine	https://truthagainstthemachine.com	truthagainstthemachine.com	None	left	high
Accuracy in Media (AIM)	https://www.aim.org	www.aim.org	USA	right	mixed
The Texas Observer	https://www.texasobserver.org	www.texasobserver.org	USA	left	high
American Family Association	https://www.afa.net/	www.afa.net	USA	extremeright	low
I have the Truth	https://ihavethetruth.com/	ihavethetruth.com	None	extremeright	questionable source
AM New York	https://www.amny.com/	www.amny.com	None	leftcenter	high
Bleeping Computer	https://www.bleepingcomputer.com	www.bleepingcomputer.com	USA	center	high
Daily News Bin	http://www.dailynewsbin.com/	www.dailynewsbin.com	None	left	mixed
LibertyTalk.FM	https://libertytalk.fm/	libertytalk.fm	USA	right	mixed
Inequality Media	https://www.inequalitymedia.org/	www.inequalitymedia.org	None	left	high
Summit News	https://summit.news	summit.news	USA	extremeright	low
Patriotic Express	https://patrioticexpress.com	patrioticexpress.com	USA	extremeright	questionable source
Constitution Project	https://constitutionproject.org/	constitutionproject.org	USA	leftcenter	mostly factual
The Libertarian Republic	http://thelibertarianrepublic.com/	thelibertarianrepublic.com	None	rightcenter	high
Special Broadcasting Service (SBS)	http://www.sbs.com.au/	www.sbs.com.au	None	leftcenter	high
The State	http://www.thestate.com/	www.thestate.com	USA	leftcenter	high
Southern Poverty Law Center	https://www.splcenter.org/	www.splcenter.org	USA	left	high
BillionBibles.org	http://www.billionbibles.org	www.billionbibles.org	USA	right	very low
The Southern Illinoisan	http://thesouthern.com	thesouthern.com	USA	center	high
The Saturday Paper	https://www.thesaturdaypaper.com.au/	www.thesaturdaypaper.com.au	None	leftcenter	high
Kansas Policy Institute (KPI)	https://kansaspolicy.org	kansaspolicy.org	USA	right	mixed
CounterCurrents.org	https://www.countercurrents.org/	www.countercurrents.org	None	left	high
The Bearded Patriot	https://thebeardedpatriot.com/	thebeardedpatriot.com	USA	extremeright	low
